Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
hb125,HB125,"<p><span>Like a reflection of billowy clouds against a bright, blue sky. These pretty blue roses and white roses/eustomas are surrounded by mysterious black wrapper. Gift a piece of the heavens to your loved one.</span></p>
<p><span>[As shown, total 50 stalks of flowers]</span></p>",Warm Wishes Florist ,Hand Bouquet,RM300 and above,true,Title,Default Title,,,,,"",0,,1,deny,manual,350.00,,true,false,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11391169_1604408313181892_7634280559037202728_n.jpg?v=1437193532,,false,,,,,,,,,,,,,,,,,kg
hb124,HB124,Our signature bouquet with 15 stalks of blue roses and 5 stalks of silver roses surrounded by baby's breath.,Warm Wishes Florist ,Hand Bouquet,RM200-RM299,true,Title,Default Title,,,,,"",0,,1,deny,manual,200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11737951_1614277355528321_3295344930162481498_n.jpg?v=1437193475,,false,,,,,,,,,,,,,,,,,kg
hb123,HB123,"<p>A lil thought for loved ones doesn't require an occasion :) 10 stalks of roses with fillers with our signature black craft wrapper.</p>
<p>Colour choices : Red, light pink, hot pink, white, Orange and yellow.</p>
<p>[As shown, red roses]</p>",Warm Wishes Florist ,Hand Bouquet,Below RM100,true,Title,Default Title,,,,,"",0,,1,deny,manual,70.00,,true,false,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11755831_1616883138601076_9036182339441372704_n.jpg?v=1437193433,,false,,,,,,,,,,,,,,,,,kg
hb123,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/9480/products/11707632_1615310032091720_180027528801898261_n_grande_04a98f90-fa14-4be7-b475-329396605ec7.jpg?v=1438785114,,,,,,,,,,,,,,,,,,,
hb122,HB122,"",Warm Wishes Florist ,Hand Bouquet,Roses,true,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11707632_1615310032091720_180027528801898261_n.jpg?v=1437193303,,false,,,,,,,,,,,,,,,,,kg
hb121,HB121,Total of 20 roses including 3 stalks of GOLD Roses and spray roses wrapped elegantly. It'll definitely complete your special day i.e. Anniversary / Birthday,Warm Wishes Florist ,Hand Bouquet,RM200-RM299,true,Title,Default Title,,,,,"",0,,1,deny,manual,200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/833645ff11c796e9cfa57abd6a28fc70.png?v=1438782989,,false,,,,,,,,,,,,,,,,,kg
hb121,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/9480/products/3699f14524e9da452ac2481513293a0d.png?v=1438782989,,,,,,,,,,,,,,,,,,,
hb121,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/9480/products/47562b5ca31158ea5b730c5007c84b8f.jpeg?v=1438782989,,,,,,,,,,,,,,,,,,,
hb120,HB120,Total 20 stalks of roses (5 silver and 15 white) and it's almost perfect.,Warm Wishes Florist ,Hand Bouquet,RM100-RM199,true,Title,Default Title,,,,,"",0,,1,deny,manual,190.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11401026_1602514560037934_6429195963123497859_n.jpg?v=1437193043,,false,,,,,,,,,,,,,,,,,kg
hb119,HB119,"<p>Dome shaped red roses surrounded by baby's breath in black wrapper.</p>
<p>[As shown, 60 stalks]</p>
<p>Other options: 40 stalks, 99 stalks</p>",Warm Wishes Florist ,Hand Bouquet,RM200-RM299,true,Size,60 Roses,,,,,"",0,,1,deny,manual,310.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11692757_1614725682150155_8163895731811127837_n.jpg?v=1437192796,,false,,,,,,,,,,,,,,,,,kg
hb119,,,,,,,,40 Roses,,,,,"",0,,1,deny,manual,210.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/9ac15958e1d5215fae7df484fef54183.jpeg?v=1438788000,,,,,,,,,,,,,,,,,,,kg
hb119,,,,,,,,99 Roses,,,,,"",0,,1,deny,manual,420.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg
hb118,HB118,"",Warm Wishes Florist ,Hand Bouquet,Roses,true,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/1d6b73d3add3bdd373eef61a46ed8504.jpeg?v=1438854157,,false,,,,,,,,,,,,,,,,,kg
hb118,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/9480/products/358b69babb44bdfd4707e69f578b69ed.jpeg?v=1438854955,,,,,,,,,,,,,,,,,,,
hb117,HB117,"Colorful mixed flower bouquet is the best way to cheer up someone! This happiness consists of 1 stalk of hydrangea, 5 stalks of gerberas and 6 stalks of roses.",Warm Wishes Florist ,Hand Bouquet,RM100-RM199,true,Title,Default Title,,,,,"",0,,1,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11227594_1615220728767317_9002850608621979340_n.jpg?v=1437192671,,false,,,,,,,,,,,,,,,,,kg
hb116,HB116,"Like Princess Elsa with a glittering butterfly. This beauty consists of 15 stalks of white roses, 1 stalk of blue hydrangea and 5 stalks of Silver roses.",Warm Wishes Florist ,Hand Bouquet,RM200-RM299,true,Title,Default Title,,,,,"",0,,1,deny,manual,200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11206130_1613038902318833_7890488996571812766_n.jpg?v=1437192570,,false,,,,,,,,,,,,,,,,,kg
hb115,HB115,"",Warm Wishes Florist ,Hand Bouquet,"Roses, Sweet williams",true,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/81db484daf1566504d7d8d6188229177.jpeg?v=1438854087,,false,,,,,,,,,,,,,,,,,kg
hb114,HB114,20 stalks of champagne / white roses in snow white suits.,Warm Wishes Florist ,Hand Bouquet,RM100-RM199,true,Title,Default Title,,,,,"",0,,1,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11168081_1595795894043134_3387329248781155960_n.jpg?v=1437192352,,false,,,,,,,,,,,,,,,,,kg
hb114,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/9480/products/11143549_1595469034075820_5003904126016544686_n.jpg?v=1437192355,,,,,,,,,,,,,,,,,,,
hb113,HB113,Mixed flower bouquet for a lil surprise!,Warm Wishes Florist ,Hand Bouquet,Below RM100,true,Title,Default Title,,,,,"",0,,1,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11164639_1591235834499140_3732644151044682027_n.jpg?v=1437192271,,false,,,,,,,,,,,,,,,,,kg
hb112,HB112,Simplicity is the best with a bunch of 20 blue roses. It could be an option for the gentleman.,Warm Wishes Florist ,Hand Bouquet,"For him, RM100-RM199",true,Title,Default Title,,,,,"",0,,1,deny,manual,170.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11124558_1574010116221712_2144432614730943745_n.jpg?v=1437192180,,false,,,,,,,,,,,,,,,,,kg
hb111,HB111,"",Warm Wishes Florist ,Hand Bouquet,"Callas lily, Geberas, Roses",true,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11009889_1562545357368188_1100851636035538868_n.jpg?v=1437192041,,false,,,,,,,,,,,,,,,,,kg
hb110,HB110,"",Warm Wishes Florist ,Hand Bouquet,Roses,true,Title,99 stalks,,,,,"",0,,1,deny,manual,460.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11001922_1548720528750671_18440130846237032_n.jpg?v=1437191940,,false,,,,,,,,,,,,,,,,,kg
hb110,,,,,,,,60 stalks,,,,,"",0,,1,deny,manual,340.00,,true,true,,,,,,,,,,,,,,,,,,,,,kg
hb109,HB109,"",Warm Wishes Florist ,Hand Bouquet,"Roses, Sweet williams",true,Title,Default Title,,,,,"",0,,1,deny,manual,320.00,,true,true,,https://cdn.shopify.com/s/files/1/0920/9480/products/4786e3eca76d97861734d7f37b0d006d.png?v=1438788880,,false,,,,,,,,,,,,,,,,,kg
hb109,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/9480/products/bf9d2839040d93666ced498b6e419e54.jpeg?v=1438788919,,,,,,,,,,,,,,,,,,,
hb109,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/9480/products/08f61315dd487b755b688132d63d26c0.png?v=1438788967,,,,,,,,,,,,,,,,,,,
