id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
WWF06268_6268,"Dear 'Someone'","Designed specially for 'someone'. We do personalised name on the box it self ! 
 
The box featuring stunning medley of romantic pink flowers tone. 
 
Kindly apply your desired customised name on 'Remarks'.",https://warmwishesflorist.com/wp-content/uploads/2018/07/33602782_2104812416474810_5170047873034747904_n.jpg,https://warmwishesflorist.com/shop/personal-pastel-blooms/,"Bloom Box, Annivesary, Birthday","Warm Wishes Florist",200MYR,in stock,WWF06268_6268,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,200MYR,new,published,,,,,984,,
WWF06212_6212,"Megan (Same Day)","6 stalks of red roses with eucalyptus leaves",https://warmwishesflorist.com/wp-content/uploads/2017/11/23244205_2003765146579538_5659839912617354143_n-1.jpg,https://warmwishesflorist.com/shop/megan-same-day/,"Uncategorized","Warm Wishes Florist",70MYR,in stock,WWF06212_6212,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,70MYR,new,published,,,,,984,,
WWF06216_6216,"Passionate Soul (Same Day)","Bloom box comes with red roses, ping pong flowers and eucalyptus leafs 
 
20 stalks of flowers and its one of our best seller",https://warmwishesflorist.com/wp-content/uploads/2017/11/passionate_soul.jpg,https://warmwishesflorist.com/shop/passionate-soul-b-same-day/,"Uncategorized","Warm Wishes Florist",190MYR,in stock,WWF06216_6216,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,190MYR,new,published,,,,,984,,
WWF06213_6213,"Sweet Tooth (Same Day)","15 pcs of Ferrero Rocher in bouquet with babys breath",https://warmwishesflorist.com/wp-content/uploads/2017/11/img_4163.jpg,https://warmwishesflorist.com/shop/sweet-tooth-same-day/,"Uncategorized","Warm Wishes Florist",145MYR,in stock,WWF06213_6213,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,145MYR,new,published,,,,,984,,
WWF06214_6214,"BB7 (Same Day)","20 stalks of sexy red in our signature black bloom box",https://warmwishesflorist.com/wp-content/uploads/2017/11/01.jpg,https://warmwishesflorist.com/shop/bb7-same-day/,"Uncategorized","Warm Wishes Florist",200MYR,in stock,WWF06214_6214,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,200MYR,new,published,,,,,984,,
WWF06217_6217,"Jessica.B (Same Day)","A box of blooms with pastel unicorn colors, mixture of roses, hydrangeas, ping pong flowers, carnation , statice and dusty miller. 
 
*Disclaimer: As with all fresh flowers, the flowers shown are seasonal. Filler flowers & foliage are subject to change based on availability. Rest assured, the bouquet will look beautiful as ever!",https://warmwishesflorist.com/wp-content/uploads/2017/11/21034215_1971231529832900_7732833956415132234_n.jpg,https://warmwishesflorist.com/shop/jessica-b-same-day/,"Uncategorized","Warm Wishes Florist",220MYR,in stock,WWF06217_6217,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,220MYR,new,published,,,,,984,,
WWF06163_6163,"Baby Shark","Baby Shark is in the town! 
 
Toothy shark small size 22cm H",https://warmwishesflorist.com/wp-content/uploads/2017/12/25498012_2022833931339326_5073710648371510278_n.jpg,https://warmwishesflorist.com/shop/baby-shark/,"Jellycat Collections","Warm Wishes Florist",100MYR,in stock,WWF06163_6163,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,100MYR,new,published,,,,,984,,
WWF06075_6075,"Bashful Pink Bunny (M)","Super-cuddly and full of flopsiness, Bashful Pink Bunny is a great cotside companion. Amazingly soft and always ready to snuggle, he’s a lop-eared sweetheart who’s perfect for beddybyes. 
 
Medium Height: 31cm 
SAFETY & CARE 
 
 
 
  Tested to and passes the European Safety Standard for toys: EN71 parts 1, 2 & 3, for all ages. 
  Suitable from birth. 
  Hand wash only; do not tumble dry, dry clean or iron. Not recommended to clean in a washing machine. 
  Check all labels upon arrival of purchase.",https://warmwishesflorist.com/wp-content/uploads/2017/12/BAS4BP.jpg,https://warmwishesflorist.com/shop/bashful-pink-bunny/,"Jellycat Collections","Warm Wishes Florist",120MYR,in stock,WWF06075_6075,,"https://warmwishesflorist.com/wp-content/uploads/2017/12/24900183_2018247948464591_9138690682550859099_n-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,120MYR,new,published,,,,,984,,
WWF06002_6002,"Bashful Blush Bunny (M)","Bashful Blush Bunny loves to snuggle, and her super soft peachy fur makes her the perfect cuddle buddy! This lop-eared lovely will make a wonderful addition to bedtimes and adventure times all over the world. 
 
Medium Height: 31cm 
SAFETY & CARE 
 
 
 
  Tested to and passes the European Safety Standard for toys: EN71 parts 1, 2 & 3 for all ages. 
  Suitable from birth. Huge and Large sizes - please do not leave in a cot/ crib. 
  Hand wash only; do not tumble dry, dry clean or iron. Not recommended to clean in a washing machine. 
  Check all labels upon arrival of purchase.",https://warmwishesflorist.com/wp-content/uploads/2017/12/blush.jpg,https://warmwishesflorist.com/shop/bashful-blush-bunny/,"Jellycat Collections, Newborn","Warm Wishes Florist",120MYR,in stock,WWF06002_6002,,"https://warmwishesflorist.com/wp-content/uploads/2017/12/blush2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,120MYR,new,published,,,,,984,,
WWF05992_5992,"Bedtime Elephant","Bedtime Elephant is so, so clever! He’s got into his jimjams all by himself! And very fancy jammies they are too, all cloudy and blue! They go so well with his soft, grey ears and trunk. Now he’s tucked up snug as a bug, what shall we read her for a sleepy story? 
 
One Size - 23cm H",https://warmwishesflorist.com/wp-content/uploads/2017/11/BED4E_1.jpg,https://warmwishesflorist.com/shop/bedtime-elephant/,"Jellycat Collections, Newborn","Warm Wishes Florist",110MYR,in stock,WWF05992_5992,,"https://warmwishesflorist.com/wp-content/uploads/2017/12/BED4E.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,110MYR,new,published,,,,,984,,
